,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,
,,,,,,,,,,,,Price,,Total Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,106.58,7.17,146.86,8.44,11.63,NA,,NA,
1876.02,4.52,0.30,0.35,10.85,1876.12,4.58,108.02,7.17,149.66,8.29,11.48,NA,,NA,
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,107.78,7.17,150.16,8.13,11.32,NA,,NA,
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,104.63,7.23,146.61,8.04,11.26,NA,,NA,
1876.05,4.18,0.30,0.33,10.37,1876.37,4.54,104.47,7.50,147.27,8.17,11.51,NA,,NA,
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,106.66,7.71,151.25,8.22,11.66,NA,,NA,
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,105.38,7.71,150.34,8.05,11.49,NA,,NA,
1876.08,3.93,0.30,0.31,10.18,1876.62,4.51,100.06,7.64,143.67,7.81,11.21,NA,,NA,
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,93.08,7.57,134.55,7.57,10.94,NA,,NA,
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,90.89,7.43,132.29,7.26,10.57,NA,,NA,
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,88.36,7.36,129.49,7.04,10.31,NA,,NA,
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,86.31,7.23,127.37,6.75,9.96,NA,,NA,
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,84.10,6.89,124.95,6.67,9.92,NA,,NA,
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,81.24,6.85,121.56,6.89,10.31,NA,,NA,
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,80.71,6.94,121.63,7.26,10.94,NA,,NA,
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,72.81,6.52,110.55,7.10,10.78,NA,,NA,
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,71.51,6.18,109.36,7.01,10.72,NA,,NA,
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,70.16,6.30,108.09,7.45,11.48,NA,,NA,
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,72.56,6.00,112.56,7.43,11.52,NA,,NA,
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,80.67,6.00,125.91,7.76,12.11,NA,,NA,
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,86.54,5.81,135.83,7.88,12.37,NA,,NA,
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,88.41,5.56,139.49,7.92,12.50,NA,,NA,
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,88.81,5.43,140.84,8.13,12.89,NA,,NA,
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,88.54,5.18,141.09,8.17,13.02,NA,,NA,
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,91.28,5.31,146.16,8.45,13.53,NA,,NA,
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,90.24,5.34,145.22,8.56,13.78,NA,,NA,
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,93.90,5.43,151.83,8.77,14.18,NA,,NA,
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,97.55,5.47,158.47,8.88,14.43,NA,,NA,
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,101.10,5.62,165.00,9.21,15.03,NA,,NA,
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,105.57,5.73,173.07,9.44,15.48,NA,,NA,
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,106.52,5.64,175.41,9.36,15.41,NA,,NA,
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,104.43,5.55,172.72,9.28,15.35,NA,,NA,
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,106.55,5.52,176.99,9.31,15.46,NA,,NA,
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,106.52,5.56,177.71,9.44,15.74,NA,,NA,
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,107.42,5.60,179.99,9.57,16.04,NA,,NA,
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,109.29,5.70,183.92,9.82,16.53,NA,,NA,
